seq_name,score,cam_score,rot_err,trans_err,depth_score,depth_score_ss,depth_score_scale,status
anemone,0.8091273031825795,0.8091273031825795,1.0617318842702685,6.140851708850555,0.8419742536293057,0.9739296193320202,0.8760026530283533,ok
athlete-follow,0.431008056841044,0.9253936348408712,0.1658311522666586,2.7049996809613566,0.431008056841044,0.6901633834841341,0.431008056841044,ok
beach-feet,0.10413176996091571,0.10413176996091571,8.698223445618611,45.970581368650144,0.7174652871012818,0.8977220962919741,0.7174652871012818,ok
beach-follow-pan,0.18136013400335005,0.18136013400335005,2.6537385490877594,50.36425212021794,0.41448664051143647,0.702303835077886,0.41448664051143647,ok
bison,0.7791725293132327,0.7791725293132327,1.2311913767780407,7.20366323549974,0.9350716385628584,0.9680703365293603,0.9548443695234512,ok
boat-lake,0.20728475711892802,0.20728475711892802,4.22046574781112,38.71886828804563,0.31497015881970414,0.4682161967937656,0.31497015881970414,ok
cat-piano,0.5423206476113062,0.9979882747068677,0.5200214070125447,0.0,0.5423206476113062,0.578754382500935,0.5423206476113062,ok
cat-spinning,0.6994145994450018,0.8356767169179229,0.4758963707178326,5.281510956421021,0.6994145994450018,0.8704501687032394,0.8657591623849562,ok
cat-walk-left,0.8432843870402735,1.0,0.026198017610140414,0.0,0.8432843870402735,0.9593177240750536,0.9593484481535314,ok
cat-walk-right,0.6794257481599859,1.0,0.07409047328568925,0.0,0.6794257481599859,0.7737114012354764,0.7296213323462829,ok
cat-walking,0.638107202680067,0.638107202680067,6.445261375968683,11.218084460431324,0.872197916906489,0.9774385309944092,0.9669510188458347,ok
catepillar-1,0.8967673525928744,1.0,0.13589961149120916,0.0,0.8967673525928744,0.9610342782281083,0.9627592236786167,ok
child-field,0.6111256281407035,0.6111256281407035,2.1052951723699986,15.883687475711396,0.7103540171292924,0.9287295659529026,0.9097130983727315,ok
corgi-snow-2,0.6592521721749076,1.0,0.143219098847035,0.0,0.6592521721749076,0.745751595375951,0.6592521721749076,ok
